severity,category,issue,details,recommendation,source
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120104832_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: -8°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120104832_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120104832_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: -4°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120104832_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120104832_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 3096°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20260120104832_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 8°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120104832_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 555 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±224 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 15 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 28 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 77°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 61°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120113343_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2579°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 989 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 249 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±338 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 385 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±326 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 79°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 71°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223215716_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 1197°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 29 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103172236_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 76°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103172236_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103172236_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 14°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103172236_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103172236_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2397°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251103172236_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 21 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251103172236_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 21°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103172236_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103170719_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 70°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170719_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251103170719_clean.csv
