Row,Coolant Temp [degree C],Engine Speed [rpm],Engine Speed of Cyl Count1 [rpm],Engine Speed of Cyl Count2 [rpm],Engine Speed of Cyl Count3 [rpm],Engine Speed of Cyl Count4 [rpm],Engine Speed of Cyl Count5 [rpm],Engine Speed of Cyl Count6 [rpm],Fuel System Monitor,Short FT (Bank1 Sensor1) [%],Short FT (Bank2 Sensor1) [%]
128,71,1153,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
129,71,1145.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
130,71,1146,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
131,71,1152.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
132,71,1147.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
133,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
134,71,1144.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
135,71,1147.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
136,71,1141.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
137,71,1142,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0
138,71,1138.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0
139,71,1143.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0
140,71,1141.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0
141,71,1145.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0
142,71,1146,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0
143,71,1144.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0
144,71,1141.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0
145,71,1139,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0
146,71,1134.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0
147,71,1145.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0
148,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0
149,71,1146.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
150,71,1145.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
151,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
152,71,1137.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
153,71,1140.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
154,71,1142,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
155,71,1148.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
156,71,1146,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
157,71,1151.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
158,71,1147.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
159,71,1146.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
160,71,1152.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,1.562
161,71,1155.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
162,71,1144.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
163,71,1140.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
164,71,1144.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,1.562
165,71,1141.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
166,71,1138.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
167,71,1139.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,0.781
168,71,1144.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
169,71,1143.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
170,71,1139,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
171,71,1145.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
172,71,1133.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,0.781
173,71,1135.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
174,71,1142,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
175,71,1145.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,0,0.781
